fecha,ccaa,num_casos,num_casos_prueba_pcr,num_casos_prueba_test_ac,num_casos_prueba_ag,num_casos_prueba_elisa,num_casos_prueba_desconocida,deceased,hospitalizated,UCI,Población
2020-01-05,Comunitat Valenciana,0,0,0,0,0,0,0,3,0,5054796
2020-01-05,España,0,0,0,0,0,0,0,12,0,47431256
2020-01-05,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-05,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-05,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-05,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-05,Madrid,0,0,0,0,0,0,0,4,0,6778382
2020-01-05,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-05,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-05,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-05,País Vasco,0,0,0,0,0,0,0,1,0,2219777
2020-01-06,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-06,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-06,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-06,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-06,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-06,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-06,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
2020-01-06,Catalunya,0,0,0,0,0,0,0,1,0,7778362
2020-01-06,Ceuta,0,0,0,0,0,0,0,0,0,83842
2020-01-06,Comunitat Valenciana,0,0,0,0,0,0,0,2,0,5054796
2020-01-06,España,0,0,0,0,0,0,0,4,0,47431256
2020-01-06,Extremadura,0,0,0,0,0,0,0,0,0,1063575
2020-01-06,Galicia,0,0,0,0,0,0,0,0,0,2700269
2020-01-06,Illes Balears,0,0,0,0,0,0,0,0,0,1171003
2020-01-06,La Rioja,0,0,0,0,0,0,0,0,0,319653
2020-01-06,Madrid,0,0,0,0,0,0,0,0,0,6778382
2020-01-06,Melilla,0,0,0,0,0,0,0,0,0,87076
2020-01-06,Murcia,0,0,0,0,0,0,0,0,0,1510951
2020-01-06,Navarra,0,0,0,0,0,0,0,0,0,660887
2020-01-06,País Vasco,0,0,0,0,0,0,0,0,0,2219777
2020-01-07,Andalucía,0,0,0,0,0,0,0,1,0,8460261
2020-01-07,Aragón,0,0,0,0,0,0,0,0,0,1328753
2020-01-07,Asturias,0,0,0,0,0,0,0,0,0,1018706
2020-01-07,Canarias,0,0,0,0,0,0,0,0,0,2174474
2020-01-07,Cantabria,0,0,0,0,0,0,0,0,0,582796
2020-01-07,Castilla y León,0,0,0,0,0,0,0,0,0,2393285
2020-01-07,Castilla-La Mancha,0,0,0,0,0,0,0,0,0,2044408
